"","Hours_watched","Avg_viewers","Peak_viewers","Streams","Avg_channels","Games_streamed","Date"
"1","480,241,904","646,355","1,275,257","7,701,675","20,076","12,149","january 2016"
"2","441,859,897","635,769","1,308,032","7,038,520","20,427","12,134","february 2016"
"3","490,669,308","660,389","1,591,551","7,390,957","20,271","12,234","march 2016"
"4","377,975,447","525,696","1,775,120","6,869,719","16,791","12,282","april 2016"
"5","449,836,631","605,432","1,438,962","7,535,519","19,394","12,424","may 2016"
"6","446,429,345","620,903","1,755,888","6,663,363","18,818","12,374","june 2016"
"7","446,331,825","600,715","1,453,743","7,336,215","18,030","12,961","july 2016"
"8","382,117,373","514,289","1,334,490","6,837,386","16,592","13,693","august 2016"
"9","362,833,210","504,635","1,186,009","6,623,528","16,880","13,484","september 2016"
"10","453,035,001","609,737","1,549,150","6,771,852","19,250","13,973","october 2016"
"11","449,688,428","625,435","1,410,023","6,084,871","20,715","13,968","november 2016"
"12","490,484,523","660,140","1,385,864","7,848,796","22,291","14,033","december 2016"
"13","601,251,200","809,220","2,284,184","8,672,879","24,081","14,841","january 2017"
"14","500,932,308","746,545","1,524,883","7,166,517","24,219","14,737","february 2017"
"15","516,399,977","695,020","1,500,730","5,970,626","23,094","14,794","march 2017"
"16","535,431,301","744,688","1,823,848","5,507,554","22,078","15,007","april 2017"
"17","506,927,522","682,271","1,514,023","8,019,065","22,362","15,276","may 2017"
"18","510,832,330","710,476","1,935,516","8,053,586","23,412","15,393","june 2017"
"19","566,899,230","762,986","1,802,287","8,802,016","25,810","15,962","july 2017"
"20","533,450,366","717,968","1,824,303","8,358,509","24,711","15,898","august 2017"
"21","527,591,318","733,784","1,519,456","7,844,109","25,038","15,804","september 2017"
"22","585,177,534","787,587","1,835,725","8,479,007","25,723","15,847","october 2017"
"23","575,551,503","800,488","1,532,756","8,526,330","26,768","16,532","november 2017"
"24","573,137,507","771,382","1,496,306","9,288,649","28,181","16,871","december 2017"
"25","720,220,030","969,340","2,315,343","11,222,734","33,580","18,309","january 2018"
"26","615,710,441","917,601","1,735,587","10,729,066","35,548","18,667","february 2018"
"27","721,341,613","970,850","2,399,946","13,495,972","38,981","19,274","march 2018"
"28","729,326,135","1,014,361","2,009,005","13,101,238","39,491","19,132","april 2018"
"29","762,177,378","1,025,810","1,714,327","13,869,534","38,746","19,011","may 2018"
"30","789,065,029","1,097,447","2,847,241","13,888,432","39,761","18,833","june 2018"
"31","796,242,999","1,071,659","1,974,783","14,910,026","41,629","19,290","july 2018"
"32","855,860,641","1,151,898","3,929,074","15,769,306","44,383","19,233","august 2018"
"33","815,061,013","1,133,603","2,431,863","15,005,606","44,246","18,526","september 2018"
"34","852,724,761","1,147,678","2,093,870","14,934,884","43,558","18,524","october 2018"
"35","865,630,693","1,203,936","2,515,155","14,422,767","45,464","18,789","november 2018"
"36","845,969,862","1,138,586","2,021,262","16,271,867","48,190","19,156","december 2018"
"37","949,050,474","1,277,322","2,278,352","17,042,119","55,853","19,995","january 2019"
"38","881,506,851","1,313,721","2,624,711","15,578,420","56,375","19,573","february 2019"
"39","947,733,580","1,275,549","2,630,058","16,718,941","55,019","20,457","march 2019"
"40","888,326,199","1,235,502","2,368,981","15,708,616","51,328","20,536","april 2019"
"41","939,520,272","1,264,495","2,607,531","15,520,889","48,357","20,751","may 2019"
"42","939,126,720","1,306,156","3,496,976","14,499,225","47,953","20,209","june 2019"
"43","916,692,478","1,233,771","2,933,491","14,790,881","48,111","20,106","july 2019"
"44","999,177,398","1,344,787","2,563,475","14,678,509","48,508","20,421","august 2019"
"45","878,083,331","1,221,256","2,817,054","13,284,517","46,242","19,869","september 2019"
"46","900,334,210","1,211,755","2,993,052","13,220,814","45,185","19,904","october 2019"
"47","879,157,590","1,222,750","2,906,707","12,939,422","45,655","20,248","november 2019"
"48","881,497,670","1,186,403","2,692,333","13,781,104","45,688","20,515","december 2019"
"49","1,010,010,231","1,359,367","2,400,513","15,053,038","52,875","21,249","january 2020"
"50","981,752,149","1,412,593","2,630,587","13,455,714","53,882","20,748","february 2020"
"51","1,218,370,086","1,639,798","3,402,641","17,302,441","66,090","22,872","march 2020"
"52","1,792,309,113","2,492,780","4,455,065","17,814,917","93,867","24,646","april 2020"
"53","1,755,760,388","2,363,069","4,043,730","20,203,413","100,486","25,396","may 2020"
"54","1,629,282,927","2,266,040","6,060,464","18,160,561","94,052","24,780","june 2020"
"55","1,572,595,815","2,116,548","3,965,956","18,859,473","95,781","25,485","july 2020"
"56","1,620,682,345","2,181,268","3,861,619","19,146,406","96,421","25,714","august 2020"
"57","1,585,511,181","2,205,161","4,816,995","18,150,678","91,978","29,190","september 2020"
"58","1,774,145,250","2,387,813","4,208,725","19,774,827","95,170","31,922","october 2020"
